KP,X,Y,Z
0,585281.709,2108892.92,-3.56
1,585282.224,2108892.063,-3.57
2,585282.7391,2108891.206,-3.58
3,585283.2541,2108890.348,-3.59
4,585283.7692,2108889.491,-3.61
5,585284.2842,2108888.634,-3.62
6,585284.7992,2108887.777,-3.62
7,585285.3143,2108886.92,-3.62
8,585285.8293,2108886.063,-3.62
9,585286.3443,2108885.205,-3.62
10,585286.8594,2108884.348,-3.62
11,585287.3744,2108883.491,-3.63
12,585287.8895,2108882.634,-3.64
13,585288.4045,2108881.777,-3.64
14,585288.9195,2108880.92,-3.65
15,585289.4346,2108880.062,-3.66
16,585289.9496,2108879.205,-3.7
17,585290.4647,2108878.348,-3.74
18,585290.9797,2108877.491,-3.78
19,585291.4947,2108876.634,-3.82
20,585292.0098,2108875.777,-3.86
21,585292.5248,2108874.919,-3.89
22,585293.0399,2108874.062,-3.92
23,585293.5549,2108873.205,-3.95
24,585294.0699,2108872.348,-3.98
25,585294.585,2108871.491,-4.01
26,585295.1,2108870.634,-4.01
27,585295.615,2108869.776,-4.01
28,585296.1301,2108868.919,-4.01
29,585296.6451,2108868.062,-4.01
30,585297.1602,2108867.205,-4.01
31,585297.6752,2108866.348,-4.01
32,585298.1902,2108865.491,-4.02
33,585298.7053,2108864.633,-4.02
34,585299.2203,2108863.776,-4.02
35,585299.7354,2108862.919,-4.03
36,585300.2504,2108862.062,-4.15
37,585300.7654,2108861.205,-4.27
38,585301.2805,2108860.348,-4.39
39,585301.7955,2108859.49,-4.51
40,585302.3105,2108858.633,-4.63
41,585302.8256,2108857.776,-4.71
42,585303.3406,2108856.919,-4.79
43,585303.8557,2108856.062,-4.87
44,585304.3707,2108855.205,-4.95
45,585304.8857,2108854.347,-5.03
46,585305.4008,2108853.49,-5.05
47,585305.9158,2108852.633,-5.08
48,585306.4309,2108851.776,-5.1
49,585306.9459,2108850.919,-5.13
50,585307.4609,2108850.062,-5.15
51,585307.976,2108849.204,-5.15
52,585308.491,2108848.347,-5.15
53,585309.006,2108847.49,-5.15
54,585309.5211,2108846.633,-5.15
55,585310.0361,2108845.776,-5.15
56,585310.5512,2108844.919,-5.15
57,585311.0662,2108844.061,-5.15
58,585311.5812,2108843.204,-5.15
59,585312.0963,2108842.347,-5.15
60,585312.6113,2108841.49,-5.15
61,585313.1264,2108840.633,-5.14
62,585313.6414,2108839.776,-5.14
63,585314.1564,2108838.918,-5.14
64,585314.6715,2108838.061,-5.13
65,585315.1865,2108837.204,-5.13
66,585315.7016,2108836.347,-5.12
67,585316.2166,2108835.49,-5.12
68,585316.7316,2108834.633,-5.11
69,585317.2467,2108833.775,-5.11
70,585317.7617,2108832.918,-5.1
71,585318.2767,2108832.061,-5.1
72,585318.7918,2108831.204,-5.09
